rowid;entity;ref_ext;ref_int;admin;employee;fk_establishment;datec;tms;fk_user_creat;fk_user_modif;login;pass_encoding;pass;pass_crypted;pass_temp;api_key;gender;civility;lastname;firstname;address;zip;town;fk_state;fk_country;birth;job;office_phone;office_fax;user_mobile;personal_mobile;email;personal_email;signature;socialnetworks;fk_soc;fk_socpeople;fk_member;fk_user;fk_user_expense_validator;fk_user_holiday_validator;idpers1;idpers2;idpers3;note_public;note;model_pdf;datelastlogin;datepreviouslogin;datelastpassvalidation;datestartvalidity;dateendvalidity;iplastlogin;ippreviouslogin;egroupware_id;ldap_sid;openid;statut;photo;lang;color;barcode;fk_barcode_type;accountancy_code;nb_holiday;thm;tjm;salary;salaryextra;dateemployment;dateemploymentend;weeklyhours;import_key;default_range;default_c_exp_tax_cat;fk_warehouse
7645;1;NULL;NULL;1;0;0;NULL;2024-03-12 16:00:43;NULL;NULL;DfTQt987;NULL;NwJOZPicwwXeaIGqOXgQ;NULL;NULL;NULL;NULL;NULL;Ali;Patrick;099 Cummings Manors;29936;New Donaldland;0;0;2024-03-12;Catering manager at Montgomery and Sons;8661672636;NULL;NULL;NULL;patrick.ali@burgess-ellis.com;epena@robinson.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6774;1;NULL;NULL;1;0;0;NULL;2024-03-12 16:00:43;NULL;NULL;ODqoC794;NULL;rtGLChNFZdEbVefBklcT;NULL;NULL;NULL;NULL;NULL;Young;Christina;29895 Tanner Unions Suite 820;52479;New Jacobport;0;0;2024-03-12;Petroleum engineer at Doyle LLC;(825)278-2284;NULL;NULL;NULL;christina.young@stevens.info;evan32@sanders.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4679;1;NULL;NULL;0;0;0;NULL;2024-03-12 16:00:43;NULL;NULL;SGMYm947;NULL;zWGaUmPtgkuKjyajvxDn;NULL;NULL;NULL;NULL;NULL;Browning;Stephen;90111 Michael Bridge Suite 760;68600;Susanburgh;0;0;2024-03-12;Passenger transport manager at Holden Ltd;890-615-2143x55243;NULL;NULL;NULL;stephen.browning@hess.com;vtaylor@johnson.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5292;1;NULL;NULL;1;0;0;NULL;2024-03-12 16:00:43;NULL;NULL;MFOsn966;NULL;kJCtnDwLowEJfzOcBcpC;NULL;NULL;NULL;NULL;NULL;Knight;Kyle;5987 Kristy Camp;59024;East Kristinfurt;0;0;2024-03-12;Human resources officer at Tran, Williams and Wood;(619)007-3030x5318;NULL;NULL;NULL;kyle.knight@torres-francis.biz;fishernancy@crawford.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3856;1;NULL;NULL;1;0;0;NULL;2024-03-12 16:00:43;NULL;NULL;Wxblt297;NULL;EwbhiHvRTUQzvyqQBwIl;NULL;NULL;NULL;NULL;NULL;Newton;Amanda;11505 Ross Estate;89438;New David;0;0;2024-03-12;Teacher, early years/pre at Vargas, Hernandez and Garcia;(293)528-7425x9379;NULL;NULL;NULL;amanda.newton@kennedy.com;william09@harvey.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1064;1;NULL;NULL;1;0;0;NULL;2024-03-12 16:00:43;NULL;NULL;dGNMU746;NULL;oWJOPpWsUkQKPuCHQXgW;NULL;NULL;NULL;NULL;NULL;Evans;Amy;4412 Phillip Hill Suite 831;19330;South Michael;0;0;2024-03-12;Psychotherapist, dance movement at Pacheco PLC;(255)406-6110x56036;NULL;NULL;NULL;amy.evans@peters.com;jordankelley@graves.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5271;1;NULL;NULL;0;1;0;NULL;2024-03-12 16:00:43;NULL;NULL;KcyDD170;NULL;osRsLzfwfIuRVpmiXhki;NULL;NULL;NULL;NULL;NULL;Landry;Chris;289 Cynthia Drive Apt. 865;85760;Shelleymouth;0;0;2024-03-12;Video editor at Roman-Bailey;6522867014;NULL;NULL;NULL;chris.landry@santana.com;burkebrian@guerra.info;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9172;1;NULL;NULL;1;1;0;NULL;2024-03-12 16:00:43;NULL;NULL;XNdGL943;NULL;UahipkBPSsKquxuiavoC;NULL;NULL;NULL;NULL;NULL;Daniels;Anthony;989 Wilson Alley;51298;West Johnathanmouth;0;0;2024-03-12;Copy at Shelton, Smith and Benson;029-164-1955;NULL;NULL;NULL;anthony.daniels@austin.info;iduncan@castillo.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7083;1;NULL;NULL;0;1;0;NULL;2024-03-12 16:00:43;NULL;NULL;WHHxY832;NULL;lxwriWQhssKUfnqEEBhY;NULL;NULL;NULL;NULL;NULL;Williams;Melissa;91503 Williams Crest Apt. 442;72653;Donnaborough;0;0;2024-03-12;Software engineer at Murphy, Floyd and Barker;(233)197-9272x8386;NULL;NULL;NULL;melissa.williams@clark.com;millermary@johnson-martin.org;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8778;1;NULL;NULL;1;0;0;NULL;2024-03-12 16:00:43;NULL;NULL;DvFhR512;NULL;gePSSzMQxGIgIxkVLryo;NULL;NULL;NULL;NULL;NULL;Collins;Alex;31584 Michelle Falls;04492;Port Petermouth;0;0;2024-03-12;Insurance underwriter at Bishop-Mitchell;371-933-9226x1168;NULL;NULL;NULL;alex.collins@carr.com;sgarcia@burton-everett.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
